move_played,correct_move,is_correct
d5b4,d5b4,True
f6g5,g4e2,False
e6h6,e6e8,False
c3b5,d1d4,False
f4g5,e3h3,False
b2b3,e2g3,False
c3d5,d3h7,False
h2b8,h2g1,False
h1e1,h1h4,False
e7f8,h8h2,False
a7a6,f3e1,False
b7b6,c8g4,False
e5f6,e5f6,True
g7g5,b4b1,False
d3c3,d3c3,True
b5b3,b5b1,False
e8e7,f6d5,False
a7a5,d6h2,False
e5f4,g3g2,False
g8h8,d8d1,False
a1g1,h3h7,False
h5g6,h5g6,True
c2d1,e1f1,False
f8g8,g2g1,False
c2g6,c2h7,False
f2c2,e8e1,False
e6f6,f7h6,False
c2b1,c2f5,False
b2b3,f6d5,False
a2e2,a2e2,True
g4f2,h3h2,False
d4d8,d4d1,False
d2f2,d2f2,True
g5f4,g5c1,False
d1d3,b6d8,False
a8g8,a8a1,False
e6f6,d5e5,False
b6d7,f6f2,False
c7c4,a5a6,False
h8g8,b5f1,False
h8h7,a8g8,False
c8d6,c8d6,True
g6f5,e7e3,False
h4h5,g8g2,False
b4d2,f6f5,False
h5f3,h5f5,False
h7h3,h7g7,False
d4d5,d4d5,True
e3c2,e4d5,False
g8e8,a3g3,False
g7g5,c6a5,False
c4b5,e4e5,False
a7a5,b6d8,False
d2d4,d2g2,False
e2c2,e2e8,False
g5f3,c3c2,False
f3d4,f3e5,False
f6g4,f6e4,False
f2e4,d1d4,False
b7d7,e1e6,False
h7h6,d8h4,False
h2h4,b1c3,False
g8g4,g8g4,True
f3e4,h5h8,False
c6a5,e2d1,False
f2f4,c1c8,False
e5g3,c6e8,False
e1e3,e4e5,False
f8d8,e6g4,False
f4e2,f4h5,False
f6h4,b4d2,False
g1h2,a6a5,False
b2e5,b2f6,False
h5g6,f7f8,False
e1e5,c4b5,False
b2b3,e3g4,False
d2b2,e5g3,False
d4c3,e3g2,False
d8d1,d8d1,True
h7g8,h7h8,False
a1a6,f5e7,False
e3d2,e3d2,True
e7b4,e7c5,False
b5c4,b5c6,False
e3f3,e6h6,False
b6b5,d6e6,False
g6b1,g6e6,False
c3c4,a1a8,False
e8e6,d6e5,False
e7e6,e7e6,True
g4g5,h7h8,False
a7a5,e8e1,False
d6b6,d6b6,True
g4f2,g4f6,False
d1d3,d1f3,False
h4h6,e5g4,False
f3f4,f3f7,False
c5d5,c5d4,False
g5h5,f4h3,False
f2f3,e5g6,False
d1b1,e5g5,False
a1f1,a1f1,True
f8g7,d6d3,False
f6h5,e8e2,False
a7a6,a1b1,False
d8e7,h5g4,False
a8b8,h6g5,False
d8d2,b6b5,False
d3e2,d3h7,False
f6f5,g4f3,False
b6c7,f4f3,False
c8e6,e5d4,False
e4d2,d8g5,False
b4b3,c2c1,False
f8e8,e5e6,False
a2a3,h3g4,False
g2g3,h4h7,False
g2g4,b7c8,False
d3c4,d3h7,False
c7c4,c7c4,True
e5g4,g3g4,False
e7f7,e7e6,False
f1g1,b4f8,False
c7d8,c7d8,True
e7d6,f6f1,False
g5f6,g5f6,True
b3c4,e5c6,False
d1c1,g5e6,False
b2b4,h1h8,False
g5f3,f7g6,False
f8f7,f4h3,False
f1d2,f1g3,False
d2e1,g5f6,False
d8c8,d8c8,True
f4a4,b1a1,False
a2b2,a2a1,False
c2c4,e3d4,False
g4g3,g4g3,True
c1c5,c1c2,False
c7c2,c7c1,False
e2c4,g5e3,False
e8e1,h1g2,False
c6e5,d6f4,False
e3e2,e3e7,False
e2b2,e2e5,False
e6e4,e6e1,False
g1g2,g3b8,False
c2c1,c2b2,False
g7g8,h7h2,False
d4e4,f4f5,False
e5f6,d8d1,False
d2d3,e4e3,False
d1g4,c1c5,False
h8g8,f8b4,False
f8d8,b3h3,False
f6e8,f6e4,False
d4e6,d4e2,False
h5e5,h5f7,False
h1h2,d1h5,False
c2d2,c2f2,False
d2b1,d2f3,False
e1e2,e1e3,False
g7g8,d6d1,False
f6h7,f6h7,True
d4e5,e4c6,False
e5e4,e5e7,False
h6g7,e5e6,False
f1f4,f1f8,False
d5f6,g6g2,False
b1f5,b1h7,False
h3h4,h3g4,False
h2h1,g3e4,False
a7d7,f1d3,False
c8c7,c8b7,False
g1g2,a7a8,False
f4g4,e5d3,False
e1e8,e1e8,True
g2g3,b1b8,False
c5c4,d5e5,False
f2e2,f2f6,False
g2h1,d1d4,False
